Company,,Haftpflichtkasse Darmstadt,,Wefox Comfort+ AS IS,,Wefox Comfort+ TO BE,weight,old,new,surcharge,,,
"Two-family house owner-occupied, house and landowner liability",2,"also insured up to 2
residential units or EUR
35,000 JBM",0,not insured,1,"also insured up to 2
residential units or EUR
35,000 JBM",0.25%,0.00%,0.25%,-,,,
"Apartment building owner-occupied, house and landowner liability",1,"also insured up to 2
residential units or max 35,000
EUR JBMW",2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Self-occupied holiday home/apartment inland,2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Rental of a holiday home,0,not insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Apartment / holiday home / holiday home in the European Abroad without rental,2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Rental of holiday rooms,1,also insured up to 8 beds,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Vacant lots,2,"also insured up to 20,000 sqm",1,"also insured up to 10,000 sqm",1,"also insured up to 20,000 sqm",0.25%,0.25%,0.38%,-,,,
Water damage liability (except for systems such as heating oil tanks for storing water-polluting substances),2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Heating oil tank above ground,2,also insured unlimited volume,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Oil tank underground,2,also insured unlimited volume,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Personal damage caused by the heating oil tank on immovable property,2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
"Risk of water damage Small containers, eg paints",2,"also insured up to 100 litres/kg individual containers; up to 1,000 litres/kg total capacity",2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Photovoltaic system,2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
"Weapons, private property without hunting",2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Damage caused by electronic data exchange/Internet use,2,"also insured up to EUR 70,000,000",2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Locomotion,,,,,,,3.25%,2.25%,3.50%,,,,
Work machines (e.g. lawn mowers) and wheelchairs with and without a motor without a license requirement,2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
"Bicycles, damage to third parties through use",2,insured,2,insured,2,insured,1%,1.00%,1.00%,,,,
Rented motor boats,2,also insured if no official permit is required or for occasional use,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
"Model vehicles, remote controlled",2,also insured without limitation of the number of pieces and maximum speed,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
"Aircraft, model airplanes, kites",2,"also insured are model
airplanes, balloons and
kites that are not subject
to compulsory insurance
as well as model
airplanes, balloons and
kites that are subject to
compulsory insurance
and whose flight weight
does not exceed 5 kg",2,insured,2,insured,0.25%,0.00%,0.25%,,,,
Drones,2,"Drones up to 5 kg are also
insured",2,insured,2,insured,0.25%,0.00%,0.25%,,,,
"Rowing boats, rented sailing boats",2,"Rowing boats are also
insured, sailing boats see
conditions",2,insured,2,insured,0.25%,0.00%,0.25%,,,,
Own surfboards,2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Borrowed surfboards,2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Loading and unloading damage to third-party vehicles,2,"also insured up to EUR 70,000,000",1,"also insured up to EUR 10,000 (150€ SB)",1,"also insured up to EUR 70,000,000",0.25%,0.00%,0.50%,-,,,
Animals,,,,,,,0.50%,0.50%,0.50%,,,,
Herding other people's dogs (non-commercial and no fighting dogs),2,insured,2,insured,2,insured,,,,,,,
"Pets e.g. cats, birds (no dogs, horses, cattle)",2,insured,2,insured,2,insured,,,,,,,
Use of other people's horses for private purposes,2,insured,2,insured,2,insured,,,,,,,
Miscellaneous,,,,,,,,,,,,,
Performance guarantee compared to model conditions of the GDV,2,insured,2,insured,2,insured,,,,,,,
Performance guarantee in relation to the Working Group on Agents Guideline,2,insured,2,insured,2,insured,,,,,,,
Extended precaution (payment is made according to the best performing tariff on the market),4,insured,0,not insured,0,not insured,,,,,,,
"Sustainability, environmental awareness",0,nothing special,0,nothing special,0,nothing special,,,,,,,
Other inclusions and special features,0,nothing special,0,nothing special,0,nothing special,,,,,,,
,103,103,98,98,111,111,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"Other inclusions and special features: Liability claims from
employers are also
insured up to EUR 10,000,
from work colleagues for
property damage - up to
EUR 100,000; permitted
keeping and guarding of
wild animals, refueling
damage to rented motor
vehicles up to EUR 70
million; Own sailboats up
to 15 sqm sail area, own
motorboats up to 15 hp,
vested rights guarantee,
replacement value up to
EUR 5,000 upon request
by the VN, victim
assistance, discount
downgrading for
borrowed vehicles
",,,,,,,,,,,
